시점,종로구,종로구,중구,중구,용산구,용산구,성동구,성동구,광진구,광진구,동대문구,동대문구,중랑구,중랑구,성북구,성북구,강북구,강북구,도봉구,도봉구,노원구,노원구,은평구,은평구,서대문구,서대문구,마포구,마포구,양천구,양천구,강서구,강서구,구로구,구로구,금천구,금천구,영등포구,영등포구,동작구,동작구,관악구,관악구,서초구,서초구,강남구,강남구,송파구,송파구,강동구,강동구
시점,남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명)
2014.03,79153,80398,65029,64911,116309,123072,149232,150184,181376,186949,182569,180998,209437,209038,234031,241920,166477,170733,176633,181103,287263,300880,245964,256124,153228,160797,184701,197285,244094,247332,279003,289540,214094,212818,123153,117371,193511,192482,202360,208915,262185,255598,214053,229619,271343,293959,328684,343612,240832,241375
2014.04,78943,80366,64922,64818,116127,122874,149265,150337,181154,186739,182453,180878,209237,208843,233642,241636,166297,170500,176466,180937,287026,300697,245801,255960,153218,160746,184693,197309,243958,247285,278899,289654,214301,213090,122965,117316,193532,192531,202360,208834,262211,255479,213806,229424,272032,294722,328202,343229,240526,241073
2014.05,78821,80269,64842,64801,116034,122886,149203,150318,180923,186468,182255,180707,209132,208854,233288,241269,166279,170445,176232,180658,286656,300441,245655,255893,153172,160676,184575,197363,243804,247207,278811,289663,214438,213146,122865,117314,193398,192604,202416,208953,261951,255363,213802,229551,272775,295503,327978,342999,240192,240886
2014.06,78678,80143,64745,64685,115857,122666,149082,150246,180666,186273,181956,180457,209176,208982,232703,240656,166282,170607,176032,180567,286259,300172,245528,255843,153016,160522,184228,197003,243311,246755,279927,290997,214471,213383,122662,117161,193218,192436,202200,208769,261623,255125,214062,229878,272991,295876,327710,342833,240008,240797
2014.07,78394,79990,64638,64598,115651,122400,148906,150133,180365,185943,181666,180200,209472,209282,232137,240197,166214,170653,175741,180290,286013,299979,245239,255606,152825,160391,183863,196639,242586,246153,281951,293082,214476,213399,122584,117076,192909,192161,201959,208593,261331,254772,214625,230563,273642,296689,327287,342586,239638,240425
2014.08,78297,79870,64496,64512,115448,122204,148602,149818,180063,185803,181440,179977,209804,209665,231537,239711,166113,170551,175593,180159,285755,299731,244902,255359,152590,160272,183800,196456,242090,245702,284135,295415,214297,213225,122398,116961,192565,191811,201725,208309,260978,254441,215635,231550,274658,297828,326770,341902,239234,240086
2014.09,78253,79814,64465,64465,115240,122062,148356,149596,179774,185582,181952,180516,209757,209706,231086,239240,165873,170456,175406,179866,285592,299680,244699,255270,152540,160212,183631,196459,241759,245594,285139,296533,214241,213250,122282,116949,192396,191596,201507,208040,260830,254208,216166,232121,275223,298533,326456,341555,238945,239790
2014.1,78077,79697,64425,64361,114974,121801,147966,149185,179424,185201,182420,181047,209708,209714,230443,238590,165608,170190,175147,179668,285365,299444,244452,255158,152083,159678,184525,197470,241512,245355,285921,297539,213743,213081,122149,116807,192106,191373,201120,207685,260402,253931,216682,232868,275964,299232,325768,340824,238563,239463
2014.11,77900,79539,64290,64164,114716,121532,147699,149006,179023,184869,182546,181228,209608,209764,229841,238155,165449,170072,174939,179471,284941,298984,244193,254906,151662,159294,185583,198670,241352,245312,286361,298024,213486,212914,122028,116733,191698,191086,200782,207436,259887,253646,216694,232927,276699,299980,325436,340325,238175,239131
