矫痢,楷飞喊,辆肺备,吝备,侩魂备,己悼备,堡柳备,悼措巩备,吝尔备,己合备,碍合备,档豪备,畴盔备,篮乞备,辑措巩备,付器备,剧玫备,碍辑备,备肺备,陛玫备,康殿器备,悼累备,包厩备,辑檬备,碍巢备,价颇备,碍悼备
2014,0 - 4技,2323.5,2396.5,4647,6336,7004.5,7055.5,8188,9813,6353.5,6921,11628.5,10678,6002.5,8254,9255.5,13225.5,10672.5,4503.5,8248,8788,9393,10577.5,10977.5,14877,10386
2014,5 - 9技,2635,2002.5,4317,5819,6641,6728.5,7464,10355,6007,6953.5,12763,10487,5586,8065.5,11039,11911,9201.5,4099.5,7452.5,7982.5,8477,10777.5,11059,14830.5,10068
2014,10 - 14技,3587,2211.5,4874.5,6159.5,8402,7613.5,8906,11366,7479,8721.5,17916.5,12258.5,7078,8625,15828,13605.5,9310.5,4928.5,7882.5,8544,9425.5,12443.5,15536,17908.5,11994
2014,15 - 19技,4756.5,3073,6236,7955.5,11172,9778,12599,13328,9843.5,11778,22794.5,15051.5,9065,10047.5,20511,17184.5,11547.5,7077.5,10040,10963,12392.5,14538.5,22022.5,21583,16067.5
2014,20 - 24技,5683.5,4253,7034.5,10507.5,13424,13270.5,14814.5,16137,10972.5,12907.5,22185,16310,11130,12197,18140,19673.5,13505.5,8449,12050,14382.5,18458.5,14248,19957,23042,17462.5
2014,25 - 29技,6119.5,4854,8283,11429,15675.5,14835.5,15049.5,16862,11077.5,12044,17929.5,15921.5,11835.5,14848,15084.5,20767.5,15144.5,9804.5,14888.5,17591,28479,14466.5,19936,23711.5,17557.5
2014,30 - 34技,6143,5829,10860,13828,18112,16434,19050.5,19709,14345.5,13984.5,21953.5,21531.5,13089,18711.5,18190.5,28693.5,21186.5,11644.5,19248,20946.5,32296.5,18833.5,24765.5,29893,21758
2014,35 - 39技,5203,5089.5,9338,12643.5,14518,14525,16116.5,18669.5,13125,12521.5,21160,20190,11550,16777,16684.5,24654,19681,9651.5,16579.5,17367.5,23628.5,17445.5,21252.5,26395,19087.5
2014,40 - 44技,6681.5,5696,10785.5,13811,15723.5,16017,17958.5,22291,14974.5,15049,25981.5,22829,13708.5,18250,21375.5,24816.5,19373,10421,17260.5,17819,23011,20349.5,23204,28931,19983
2014,45 - 49技,6474.5,5147,9291.5,11954.5,14618.5,14119,17291.5,18595.5,13305.5,14281,25312,19367.5,12200.5,14436,22889.5,21061,15888,10327,14896,14233,17905,17952.5,23856.5,26518,18968
2014,50 - 54技,6698,5551,9029.5,12352,14697,14448.5,18606,17829.5,13473.5,15071.5,24105.5,19391.5,12082.5,13662.5,22029.5,22465,16338.5,10980,15307,14696,17740,15732.5,21868,25901,20122
