矫痢,楷飞喊,辆肺备,吝备,侩魂备,己悼备,堡柳备,悼措巩备,吝尔备,己合备,碍合备,档豪备,畴盔备,篮乞备,辑措巩备,付器备,剧玫备,碍辑备,备肺备,陛玫备,康殿器备,悼累备,包厩备,辑檬备,碍巢备,价颇备,碍悼备
2014,0 - 4技,2175.5,2276.5,4521.5,6052,6633,6691,7751,9382,6022,6299.5,11202,10047.5,5488,7803,8686,12832.5,10309.5,4266.5,7975.5,8231,9036,9991.5,10310,14120,9755.5
2014,5 - 9技,2402.5,2004.5,4273,5532,6445,6391,7108,9703.5,5707,6528.5,12041,9828.5,5431.5,7638,10320.5,11411,8608.5,3998.5,6916.5,7410,8042.5,10256.5,10426,13882.5,9227.5
2014,10 - 14技,3296.5,2079,4629.5,6107,7736,7208.5,8367.5,10618,6815.5,8243,16538.5,11523.5,6617,8249.5,14317.5,12874,8630.5,4691,7118.5,7961.5,8665.5,11927,13909,16690,10747.5
2014,15 - 19技,4362.5,2872,5579,7693.5,10620,9264,11467,12618,9042,10708,20480.5,14240,8635.5,9658.5,17778.5,15917,10565,6420,9227.5,10192.5,11576.5,13480.5,19238,20477,13908.5
2014,20 - 24技,5593.5,4138.5,7295.5,9937,13674,12571,14325,16503.5,10742,12068.5,20091,15829,11319.5,13139.5,16643.5,19174.5,12928.5,7939.5,12128,14280.5,19390.5,14052,19917,22116.5,15696
2014,25 - 29技,5811.5,4709.5,8635.5,11373,16778.5,13202.5,15333,17033,10700,11526,17849,16686.5,11761,16678.5,15321,22204.5,15606,8378,15562.5,17869.5,26864.5,17091.5,23931.5,26092,17071
2014,30 - 34技,5875.5,5604,10992.5,13818.5,18072.5,15390.5,17630.5,19426,13165,13456,22296.5,21506.5,12896.5,19903.5,18191.5,27908.5,20565.5,9538.5,18189.5,19993,26656.5,21633,29711.5,32500.5,21343
2014,35 - 39技,5315.5,4773,9618,12101.5,14215,13502.5,14679,18565,12299.5,12370,21945,19827,11306,17272.5,17836,23911,18022.5,8386,15637.5,16835.5,19910,19987.5,23940.5,27819.5,18303
2014,40 - 44技,6966.5,5078,10592,12941,15944.5,14558.5,16825,21246,14212.5,15482.5,28815,22440,13536,17904.5,24381,24275.5,17275,9596,15636,16569,19263,22485,27587.5,30719,20062
2014,45 - 49技,6567.5,4714,9155.5,11498.5,15180.5,13440.5,17499,18327.5,13461,15426,26749.5,20053,12477.5,14380,23602.5,22503.5,15592.5,10003.5,14164.5,14817,17335.5,18232.5,26122.5,27700,19795
2014,50 - 54技,6546,5248,9385.5,12037,15378.5,14724.5,18954.5,18916.5,14374,16525,25358.5,20836,12796.5,14415.5,21498,24749,17202.5,10644,15416.5,16513,19142.5,16814.5,22634,28159.5,21990
2014,55 - 59技,5717.5,5098.5,8514,10936,13467,14134.5,17083,17649,13650.5,15083.5,21863,19426.5,11654.5,12967,18009,23376.5,16774,9485,14604.5,15592,18746.5,15919,20387.5,25793.5,20189.5
2014,60 - 64技,4180,3654,6147,7434,8911.5,10289.5,11672.5,12570.5,10511,9691.5,14374.5,13990.5,8383,9330.5,11620,15806,12239.5,6769,10576.5,11297.5,14384.5,11415.5,14442.5,17045.5,13067.5
2014,65 - 69技,3822.5,3184,5490,6424.5,7126.5,9033.5,9599,11165.5,9565.5,7953.5,11507,12132.5,7768.5,8481,8518,11451,9288,5347,8483.5,9748.5,12098.5,9094.5,10989,11987.5,9225
2014,70 - 74技,3565,2922,5029,5623.5,5547.5,7789.5,7760,9663.5,8070,6965,10252.5,10197.5,7064.5,7261,6682.5,8774.5,7243.5,4319.5,7178,7459,9252,5999,7186,8546,6558.5
2014,75 - 79技,2500.5,2093.5,3901.5,3865,3873,5198,5033.5,6449,4986.5,4913,7712,6868.5,5046,5098.5,5055.5,6375,4737,2781.5,4915,5174,5581.5,3919,4782.5,5933.5,4687
2014,80 - 84技,1516,1298,2136.5,2170,2203,2902,2962,3599,2637,2946.5,4829,3791.5,2726.5,2929.5,3290,4266.5,2739.5,1605,2831.5,3017,3077,2642.5,3369,4001,3213.5
2014,85 - 89技,810,683.5,1157,1083.5,1178,1429,1575.5,1892.5,1294.5,1508.5,2496.5,1938.5,1356,1428,1772,2333,1420,847,1428,1568,1573.5,1688,2165,2333.5,1939.5
2014,90 - 94技,332.5,237.5,413,403,463,544,579,681.5,487,546,929,739,536,541,644.5,843.5,504.5,281.5,536.5,643.5,627.5,695,870,884.5,715
2014,95 - 99技,74,52,80,92.5,114,104.5,122,146,117,115.5,167,141,107.5,116.5,130.5,164,103.5,69,124,126,136,164,203.5,196,157.5
2014,100技 捞惑,11.5,6,16,14.5,15.5,19,31,21,13,25.5,31,25.5,15.5,18,26,32.5,15.5,9,18.5,17.5,20,30.5,32.5,27.5,18.5
2015,0 - 4技,2143.5,2159.5,4349,6095.5,6465,6528,7790,8948.5,5694.5,6133.5,10838,9639.5,5457,7843.5,8597.5,13238.5,10069,4204.5,7753.5,7985,8737.5,9969.5,10521,13899.5,9236
2015,5 - 9技,2328,1938,4149.5,5417.5,6282.5,6303.5,7014,9449,5548.5,6370,11601.5,9666.5,5330,7567.5,10274.5,11444,8685,3857,6716.5,7300.5,7684,10589,10902,13876,8968.5
2015,10 - 14技,2968,1890.5,4292.5,5605.5,7108,6665,7661.5,9967,6303.5,7561.5,15300,10644.5,6226.5,7827.5,13345.5,12294,8064,4317.5,6526,7436,8043.5,11524,13503,15536,9794
2015,15 - 19技,4225.5,2704.5,5358,7469,10154.5,8996.5,10881,12305,8670,10254.5,19833.5,13919.5,8338.5,9530,17142,15560,10241,6053,8770,9713.5,11167,13396,18992,19827,13157
2015,20 - 24技,5648.5,4129.5,7411.5,10061,13796.5,12978.5,14463.5,16577,10974.5,11975.5,20260,16031,11587.5,13572.5,16722.5,19698.5,13273.5,7995.5,12242.5,14346,19777,14210,19978,22007,15276.5
2015,25 - 29技,5715.5,4567,8425,11246.5,16331.5,12940.5,14979.5,16341.5,10348.5,11223,17385,16441.5,11623.5,16807.5,15077,22559.5,15266.5,8314,15574.5,17290,26675.5,16681,23485,25300,16313
2015,30 - 34技,5641.5,5333.5,10301,13234.5,17370,14580.5,16927.5,17991.5,12145.5,12668,20833.5,20269,12304,19621,17383,27547.5,19414,9058,17559.5,18832.5,25368,20834,28663,30910.5,19653
2015,35 - 39技,5207.5,4713.5,9437.5,12040,14183.5,13459,14853.5,17968,11930,12256,21354,19711,11241.5,17435.5,17671.5,24784.5,18090.5,8231.5,15508,16762.5,19716.5,20466,25189,28313,18178
